Date,SiteName,LocationName,WeekDay,TotalCount,Recording_ID
2015-02-22,York,Micklegate,Sunday,4917,842275
2015-02-22,York,Parliament Street at M&S,Sunday,11504,270183
2015-02-22,York,Stonegate,Sunday,14203,838618
2015-03-01,York,Church Street,Sunday,2001,671307
2015-03-01,York,Coney Street,Sunday,19167,744529
2015-03-01,York,Micklegate,Sunday,5679,110629
2015-03-01,York,Parliament Street at M&S,Sunday,16107,236641
2015-03-01,York,Stonegate,Sunday,15640,604223
2015-02-23,York,Church Street,Monday,2317,156560
2015-02-23,York,Coney Street,Monday,17255,208977
2015-02-23,York,Micklegate,Monday,5289,490771
2015-02-23,York,Parliament Street at M&S,Monday,21854,810083
2015-02-23,York,Stonegate,Monday,11141,49902
2015-02-24,York,Church Street,Tuesday,2292,677003
2015-02-24,York,Coney Street,Tuesday,16751,723521
2015-02-24,York,Micklegate,Tuesday,5476,812114
2015-02-24,York,Parliament Street at M&S,Tuesday,23938,313452
2015-02-24,York,Stonegate,Tuesday,10579,184201
2015-02-25,York,Church Street,Wednesday,2218,915894
2015-02-25,York,Coney Street,Wednesday,19683,339119
2015-02-25,York,Micklegate,Wednesday,5678,123366
2015-02-25,York,Parliament Street at M&S,Wednesday,21686,615476
2015-02-25,York,Stonegate,Wednesday,12266,646581
2015-02-26,York,Church Street,Thursday,2294,584065
2015-02-26,York,Coney Street,Thursday,19025,70384
2015-02-26,York,Micklegate,Thursday,5878,791453
2015-02-26,York,Parliament Street at M&S,Thursday,18926,62986
2015-02-26,York,Stonegate,Thursday,11711,76803
2015-02-27,York,Church Street,Friday,2599,117799
2015-02-27,York,Coney Street,Friday,23424,NA
2015-02-27,York,Micklegate,Friday,7886,873763
2015-02-27,York,Parliament Street at M&S,Friday,29718,411436
2015-02-27,York,Stonegate,Friday,17184,426123
2015-02-28,York,Church Street,Saturday,3980,662304
2015-02-28,York,Coney Street,Saturday,37470,980239
2015-02-28,York,Micklegate,Saturday,9888,277631
2015-02-28,York,Parliament Street at M&S,Saturday,30646,312378
2015-02-28,York,Stonegate,Saturday,31975,497598
2015-03-02,York,Church Street,Monday,1985,575981
2015-03-02,York,Coney Street,Monday,17430,908411
2015-03-02,York,Micklegate,Monday,4701,934295
2015-03-02,York,Parliament Street at M&S,Monday,17611,166608
2015-03-02,York,Stonegate,Monday,10934,841824
2015-03-03,York,Church Street,Tuesday,2181,503345
2015-03-03,York,Coney Street,Tuesday,18088,962802
2015-03-03,York,Micklegate,Tuesday,5460,916765
2015-03-03,York,Parliament Street at M&S,Tuesday,20912,800509
2015-03-03,York,Stonegate,Tuesday,10271,523628
2015-03-04,York,Church Street,Wednesday,2001,422801
2015-03-04,York,Coney Street,Wednesday,20603,537853
2015-03-04,York,Micklegate,Wednesday,6627,713545
2015-03-04,York,Parliament Street at M&S,Wednesday,28732,414116
2015-03-04,York,Stonegate,Wednesday,11549,697591
2015-03-05,York,Church Street,Thursday,1950,21292
2015-03-05,York,Coney Street,Thursday,19739,886063
2015-03-05,York,Micklegate,Thursday,5561,205652
2015-03-05,York,Parliament Street at M&S,Thursday,18129,722686
2015-03-05,York,Stonegate,Thursday,12948,297543
2015-03-06,York,Church Street,Friday,2839,697182
2015-03-06,York,Coney Street,Friday,23123,883808
2015-03-06,York,Micklegate,Friday,7519,881625
2015-03-06,York,Parliament Street at M&S,Friday,27475,762223
2015-03-06,York,Stonegate,Friday,16397,881472
2015-03-07,York,Church Street,Saturday,2420,554038
2015-03-07,York,Coney Street,Saturday,41520,913252
2015-03-07,York,Micklegate,Saturday,9211,172150
2015-03-07,York,Parliament Street at M&S,Saturday,40184,410456
2015-03-07,York,Stonegate,Saturday,32153,NA
2015-03-08,York,Church Street,Sunday,1815,452632
2015-03-08,York,Coney Street,Sunday,21041,618866
2015-03-08,York,Micklegate,Sunday,5092,753633
2015-03-08,York,Parliament Street at M&S,Sunday,17212,428867
2015-03-08,York,Stonegate,Sunday,18087,6761
2015-03-09,York,Church Street,Monday,2557,267255
2015-03-09,York,Coney Street,Monday,17303,967638
2015-03-09,York,Micklegate,Monday,5064,504703
2015-03-09,York,Parliament Street at M&S,Monday,13735,617523
2015-03-09,York,Stonegate,Monday,11263,39349
2015-03-10,York,Church Street,Tuesday,2356,600834
2015-03-10,York,Coney Street,Tuesday,21467,974536
2015-03-10,York,Micklegate,Tuesday,5988,733808
2015-03-10,York,Parliament Street at M&S,Tuesday,30795,228822
2015-03-10,York,Stonegate,Tuesday,13194,524838
2015-03-11,York,Church Street,Wednesday,1617,905315
2015-03-11,York,Coney Street,Wednesday,19950,61983
2015-03-11,York,Micklegate,Wednesday,5876,167210
2015-03-11,York,Parliament Street at M&S,Wednesday,20825,628733
2015-03-11,York,Stonegate,Wednesday,12765,545466
2015-03-12,York,Church Street,Thursday,2717,558683
2015-03-12,York,Coney Street,Thursday,21733,3500
2015-03-12,York,Micklegate,Thursday,6352,126763
2015-03-12,York,Parliament Street at M&S,Thursday,28826,27436
2015-03-12,York,Stonegate,Thursday,13792,650871
2015-03-13,York,Church Street,Friday,2160,536250
2015-03-13,York,Coney Street,Friday,24777,264514
2015-03-13,York,Micklegate,Friday,7345,517725
2015-03-13,York,Parliament Street at M&S,Friday,25549,780458
2015-03-13,York,Stonegate,Friday,16669,606376
2015-03-14,York,Church Street,Saturday,2563,758150
2015-03-14,York,Coney Street,Saturday,40879,5040
2015-03-14,York,Micklegate,Saturday,9272,805712
2015-03-14,York,Parliament Street at M&S,Saturday,34014,272430
2015-03-14,York,Stonegate,Saturday,31036,97594
2015-03-15,York,Church Street,Sunday,1656,720628
2015-03-15,York,Coney Street,Sunday,21213,903264
2015-03-15,York,Micklegate,Sunday,5523,172127
2015-03-15,York,Parliament Street at M&S,Sunday,15708,551087
2015-03-15,York,Stonegate,Sunday,16763,845903
2015-03-16,York,Church Street,Monday,1704,703776
